Date,Gold,Platinium,Palladium,Silver
7/13/2019 0:00,45775.43,27294.78,48678.41,525.3
7/23/2019 0:00,46245.23,27494.6,48837.07,524.35
8/2/2019 0:00,48267.67,27749.39,45903.16,546.91
8/12/2019 0:00,48311.72,27479.56,47834.94,550.78
8/22/2019 0:00,48886.5,30060.14,47774.98,590.64
9/1/2019 0:00,47811.86,29977.52,49662.54,579.37
9/11/2019 0:00,48756.29,30414.61,52487.79,578.36
9/21/2019 0:00,47379.75,28506.62,54463.45,547.79
10/1/2019 0:00,48036.75,28915.74,54105.29,563.2
10/11/2019 0:00,47961.36,28660.14,56652.11,565.02
10/21/2019 0:00,48076.62,29717.9,57489.79,573.94
10/31/2019 0:00,46907.94,28530.57,57915.31,540
11/10/2019 0:00,47406.76,29272.77,55729.54,552.08
11/20/2019 0:00,47065,28815.59,59053.28,547.17
11/30/2019 0:00,46979.64,28773.31,60390.43,533.82
12/10/2019 0:00,47535.52,30051.46,61967.42,548.43
12/20/2019 0:00,48663.21,30538.39,61336.62,572.89
12/30/2019 0:00,50089.9,30739.81,66046.38,582.86
1/9/2020 0:00,50068.84,32899.54,75006.3,579.84
1/19/2020 0:00,50430.54,31761.72,74046.44,562.14
1/29/2020 0:00,50475.06,31126.1,75249.36,569.11
2/8/2020 0:00,50937.71,31218.21,78608.46,572.75
2/18/2020 0:00,52905.9,29051.09,90689.73,572.13
2/28/2020 0:00,54661.65,28907.62,80940.83,562.58
3/9/2020 0:00,48156.19,20658.14,53004.13,394.46
3/19/2020 0:00,52335.95,24019.98,75802.67,465.98
3/29/2020 0:00,53004.04,23801.68,69967.32,481.39
4/8/2020 0:00,54148.45,24965.05,70527.22,489.27
4/18/2020 0:00,54982.12,24509.58,65503.03,487.14
4/28/2020 0:00,55114.58,24690.17,58465.73,490.51
5/8/2020 0:00,56532.27,26021.05,59290.07,543.89
5/18/2020 0:00,55016.04,26984.12,63108.61,554.59
5/28/2020 0:00,54184.78,26389.17,62544.69,559.87
6/7/2020 0:00,55512.44,26611.17,62819.9,562.22
6/17/2020 0:00,56958.58,26082.61,59581.36,572.11
6/27/2020 0:00,57418.02,26593.49,61792.68,588.68
7/7/2020 0:00,57821.83,26499.93,63728.8,616.09
7/17/2020 0:00,61530.9,29950.19,68803.46,741.56
7/27/2020 0:00,65477.41,31120.96,68769.87,864.65
8/6/2020 0:00,62515.36,30427.31,69431.69,850.11
8/16/2020 0:00,62044.99,29995.52,69983.39,852.35
8/26/2020 0:00,62167.49,29163.94,74022.81,865.56
9/5/2020 0:00,62930.42,30873.56,74688.33,873.55
9/15/2020 0:00,60055.5,27375.88,71342.4,746.63
9/25/2020 0:00,61186.25,28490.38,74510.37,768.52
10/5/2020 0:00,61032.73,27661.7,75395,777.52
10/15/2020 0:00,61131.59,29214.58,76860.91,791.52
10/25/2020 0:00,61548.42,28240.57,71847.49,784.46
11/4/2020 0:00,60758.8,28755.31,75514.76,792.99
11/14/2020 0:00,59021.22,30007.9,75103.87,756.74
11/24/2020 0:00,59153.52,33094.53,77495.4,772.84
12/4/2020 0:00,59093.55,32793.76,75515.4,770.17
12/14/2020 0:00,60207.58,32729.46,74756,821.9
12/24/2020 0:00,61034.98,34387.8,78916.14,848.44
1/3/2021 0:00,59758.27,34673.78,76540.85,824.93
1/13/2021 0:00,59664.55,35481.89,76188,819.44
1/23/2021 0:00,59720.17,36156.73,72322.36,917.1
2/2/2021 0:00,58732.98,39714.21,75844.31,867.86
2/12/2021 0:00,57342.95,41445.53,75616.36,880.98
2/22/2021 0:00,54995.3,37444.05,76318.53,836.13
3/4/2021 0:00,55535.75,38830.22,75389.85,832.91
3/14/2021 0:00,55530.77,37520.73,83957.86,805.6
3/24/2021 0:00,55785.89,39008.02,85831.28,802.08
4/3/2021 0:00,55689.43,37638.88,84700.7,797.76
4/13/2021 0:00,57332.82,38818.01,92372.18,839.71
4/23/2021 0:00,56879.65,38694.23,95257.06,831.68
5/3/2021 0:00,58438.48,39164.43,94793.28,871.98
5/13/2021 0:00,60492.92,37679.87,91411.03,886.2
5/23/2021 0:00,61052.18,38487.66,91775.46,895.42
6/2/2021 0:00,60355.79,37079.62,89219.16,897.68
6/12/2021 0:00,57343.43,34206.79,80134.98,834.1
6/22/2021 0:00,57090.24,34959.6,88992.82,836.11
7/2/2021 0:00,58082.41,35459.54,90054.91,839.07
7/12/2021 0:00,57958.95,34870.86,85229.26,812.67
7/22/2021 0:00,58329.65,33802.81,85379.4,819.46
8/1/2021 0:00,55524.82,32246.4,84100.77,749.98
8/11/2021 0:00,57264.98,32072.94,74823.52,740.56
8/21/2021 0:00,58209.73,32395.41,77946.16,772.69
8/31/2021 0:00,57704.96,31558.37,72415.43,773.19
9/10/2021 0:00,56402.05,30363.97,64926.09,719.41
9/20/2021 0:00,55585.43,30795.59,61106.58,693.37
9/30/2021 0:00,56499.31,33078.13,63222.9,729.03
10/10/2021 0:00,56865.51,33524.23,65785.32,760.03
10/20/2021 0:00,57338.61,32850.99,64243.05,768.16
10/30/2021 0:00,58661.45,34025.3,65792.81,786.08
11/9/2021 0:00,59790.74,33875.15,70477.49,798.26
11/19/2021 0:00,57725.38,31590.36,56288.72,749.96
11/29/2021 0:00,57346.64,30890.92,59895.23,721.97
12/9/2021 0:00,57816.04,30082.49,59895.23,719.3
12/19/2021 0:00,58087.08,31437.07,63930.8,739.88
12/29/2021 0:00,57765.81,30947.02,62209.12,719.05
1/8/2022 0:00,58487.35,31446.16,60377.49,740.18
1/18/2022 0:00,57782.69,33015.92,60377.49,731.29
1/28/2022 0:00,58195.58,33109.64,73991.73,726.55
2/7/2022 0:00,60123.1,34069.34,73729.7,758.38
2/17/2022 0:00,60745.62,34067.25,76023.98,780.35
2/27/2022 0:00,65714.28,37381.19,106333.69,850.85
3/9/2022 0:00,61794.62,33006.92,80115.64,803.06
3/19/2022 0:00,61864.79,31775.39,72315.55,801.97
3/29/2022 0:00,62150.13,31091.22,72310.4,792.13
4/8/2022 0:00,63882.41,31949.64,76207.16,831.09
4/18/2022 0:00,60627.15,29601.03,71117.61,750.12
4/28/2022 0:00,60557.94,30958.28,65990.37,718.92
5/8/2022 0:00,58342.59,30647.78,66111.9,695.54
5/18/2022 0:00,59604.59,30837.07,66372,711.16
5/28/2022 0:00,59143.07,32889.57,64390.63,708.49
6/7/2022 0:00,59513.36,30599.79,60730.99,703.14
6/17/2022 0:00,58876.7,29345.59,60593.87,680.06
