sample_index,actual_class,predicted_class,g_actual,g_predicted
16,1,2,-7.950062440944732,-2.544628482664731
25,1,2,-3.1059315356172443,-3.1004082676342177
37,1,2,-4.906154578856424,-1.5265012993774598
66,1,2,-4.281126764938286,-2.1046526858619163
94,1,2,-3.760572323905875,-1.6855117769355292
98,1,2,-2.7147641110313985,-2.263956651115118
120,1,2,-3.152418101765493,-1.8540774506708804
133,1,2,-4.027243283659017,-2.988785129333011
134,1,2,-3.441428128461247,-3.0760102136647935
148,1,2,-3.6943096717495814,-2.0486746616179716
151,1,2,-2.98797885210023,-2.870321435886644
154,1,2,-4.213417867083215,-2.562080188088566
197,1,2,-2.9851699523932913,-1.9951116867748229
211,1,2,-3.4356448205884775,-2.2556848560648044
214,1,2,-5.870413830717617,-5.220241249032648
221,1,2,-4.675876383656411,-1.8930303815894778
229,1,2,-3.2688310591909024,-1.8753306666094391
269,1,2,-4.507866845693634,-2.869628613386899
295,1,2,-5.653061555553014,-2.0890552464328773
298,1,2,-2.5388706506722847,-2.325338257556485
318,1,2,-5.883944118303015,-4.738022877280811
347,1,2,-2.637548870267741,-2.515357750197113
376,1,2,-4.15921743448895,-2.6099251951227846
377,1,2,-3.6655991624769833,-1.945554984429013
380,1,2,-3.9293342004457026,-1.5936475748226764
398,1,2,-2.8621492923373877,-2.087429011762922
451,1,2,-2.615361411907363,-2.350538980473242
465,1,2,-2.793889452903984,-2.094438187451455
481,1,2,-3.525962335218905,-1.826454009518422
490,1,2,-4.3159009766818945,-1.5957414157260963
491,1,2,-3.3899874926505786,-1.7425621413720815
492,1,2,-5.486925399696849,-1.5652950267828118
510,2,1,-3.219108242411977,-1.8697603789695658
515,2,1,-5.32220392373855,-1.4319807692276205
529,2,1,-3.030671093044793,-2.121584889995936
548,2,1,-2.6529185842225482,-2.5496382077599513
553,2,1,-3.296721007128302,-2.6408796230146114
571,2,1,-3.832293404477946,-2.03373163563053
577,2,1,-2.7528250182918494,-2.395510728803604
582,2,1,-4.282150824962683,-2.4607282489665674
598,2,1,-3.0551603754628474,-1.9894046310569244
629,2,1,-2.922392651077261,-2.611577530700785
641,2,1,-2.501093954041774,-2.4448676426307947
646,2,1,-3.3599087910020016,-2.608301423303744
691,2,1,-2.997478576343103,-2.607328160645337
717,2,1,-3.273198144499667,-2.281474834037315
741,2,1,-3.494751036476477,-1.9706995464740205
747,2,1,-4.307343490618322,-2.91893154924983
787,2,1,-6.952796337401576,-4.316666784386143
790,2,1,-2.5264899197422737,-2.3119878370645863
791,2,1,-3.952318017967446,-2.6975273995001707
833,2,1,-5.38212338504117,-1.4349189088744732
836,2,1,-3.546642553244925,-1.7785169953550573
846,2,1,-4.8284998702143564,-3.695860720929954
850,2,1,-3.339713486560102,-2.001367891987799
852,2,1,-4.4157915220025785,-3.810496465163774
871,2,1,-3.8962634853514464,-2.1512936010947774
886,2,1,-3.601765669212642,-2.6881331508552426
909,2,1,-2.645660570137793,-2.3424837787822215
912,2,1,-4.735060587806039,-4.456535124544468
917,2,1,-3.9629130164032604,-2.0712263312448935
940,2,1,-3.4078985647164943,-1.8335197783727724
963,2,1,-3.130322024988911,-2.0073720350605813
964,2,1,-3.3147313985678997,-1.8597387705411252
969,2,1,-2.748548583060594,-2.5614773512360665
972,2,1,-2.442426356751693,-2.4383136098881613
983,2,1,-3.198509420371535,-1.9087766293765238
